GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Server,dev.coms4156.project.server.model,QueueStore,47,486,10,32,11,119,11,23,1,12
Server,dev.coms4156.project.server.model,Task,2,85,1,3,1,26,1,12,0,11
Server,dev.coms4156.project.server.model,Task.TaskStatus,0,27,0,0,0,5,0,1,0,1
Server,dev.coms4156.project.server.model,Result,0,40,0,0,0,11,0,6,0,6
Server,dev.coms4156.project.server.model,Result.ResultStatus,0,15,0,0,0,3,0,1,0,1
Server,dev.coms4156.project.server.model,Queue,0,111,1,9,0,26,1,17,0,13
Server,dev.coms4156.project.server,GroupProjectApplication,5,0,0,0,2,0,1,0,1,0
Server,dev.coms4156.project.server.model.snapshot,QueueSnapshot,15,41,0,0,6,16,1,9,1,9
Server,dev.coms4156.project.server.model.snapshot,TaskSnapshot,16,27,0,0,8,10,4,5,4,5
Server,dev.coms4156.project.server.model.snapshot,SnapshotData,14,21,0,0,6,8,4,3,4,3
Server,dev.coms4156.project.server.model.snapshot,ResultSnapshot,19,24,0,0,9,9,5,4,5,4
Server,dev.coms4156.project.server.service,QueueService,13,184,1,27,4,51,2,24,1,11
Server,dev.coms4156.project.server.controller,QueueController.QueueStatusResponse,20,33,0,0,10,12,5,6,5,6
Server,dev.coms4156.project.server.controller,QueueController.ClearAllResponse,8,15,0,0,4,6,2,3,2,3
Server,dev.coms4156.project.server.controller,QueueController.EnqueueTaskRequest,0,17,0,0,0,7,0,5,0,5
Server,dev.coms4156.project.server.controller,QueueController.SubmitResultRequest,0,24,0,0,0,10,0,7,0,7
Server,dev.coms4156.project.server.controller,QueueController,0,227,7,13,0,54,7,14,0,11
Server,dev.coms4156.project.server.controller,QueueController.CreateQueueRequest,0,10,0,0,0,4,0,3,0,3
